,% Importance,Feature
0,0.05407761751373254,(product_title-search_term)_tf_natural_avg
1,0.030470421909583583,(product_title-search_term)_tf_idf_(natural-prob)_sum
2,0.029841375019893,(product_title-search_term)_tf_idf_(natural-smooth)_sum
3,0.029619047214696863,(product_title-search_term)_tf_double_norm_0.5_avg
4,0.02960647414584964,(product_title-search_term)_tf_idf_(natural-max)_sum
5,0.028832271647599862,(product_title-search_term)_tf_idf_(log_norm-smooth)_sum
6,0.026715596482265857,(product_title-search_term)_tf_idf_(log_norm-max)_sum
7,0.026519941195802785,(product_title-search_term)_tf_idf_(log_norm-prob)_sum
8,0.02445473533364053,prod_descr_length
9,0.024419013509399276,(prod_descr-search_term)_tf_idf_(natural-prob)_sum
10,0.021843265544849666,(search_term-product_title)_tf_idf_(natural-smooth)_sum
11,0.020485920238657515,(product_title-search_term)_bm25_avg
12,0.020268966558924302,(search_term-product_title)_bm25_avg
13,0.019935962064075843,(prod_descr-search_term)_tf_idf_(natural-max)_sum
14,0.01971803143841755,(prod_descr-search_term)_tf_idf_(natural-smooth)_sum
15,0.019545791962812586,(product_title-search_term)_bm25_sum
16,0.01934647896542324,product_title_length
17,0.019261859442884416,attr_values_length
18,0.01922867561393863,attr_names_length
19,0.018038067222440106,(search_term-prod_descr)_bm25_avg
20,0.018015698265008494,(prod_descr-search_term)_bm25_sum
21,0.017993518499851587,(prod_descr-search_term)_tf_idf_(log_norm-prob)_sum
22,0.017991148761085898,(prod_descr-search_term)_tf_idf_(log_norm-max)_sum
23,0.01788113661797688,(attr_names-search_term)_tf_idf_(log_norm-smooth)_sum
24,0.01785411649006116,(prod_descr-search_term)_tf_double_norm_0.5_avg
25,0.017820321840674627,(attr_names-search_term)_tf_idf_(log_norm-prob)_sum
26,0.017795476949929678,(prod_descr-search_term)_bm25_avg
27,0.01773630310241118,(prod_descr-search_term)_tf_idf_(log_norm-smooth)_sum
28,0.017525927717861385,(attr_values-search_term)_tf_idf_(log_norm-max)_sum
29,0.017495064564408313,(attr_values-search_term)_tf_idf_(log_norm-smooth)_sum
30,0.0174468563948221,(attr_values-search_term)_tf_idf_(log_norm-prob)_sum
31,0.017428365902545897,(attr_names-search_term)_tf_idf_(log_norm-max)_sum
32,0.016216395465010556,(search_term-product_title)_bm25_sum
33,0.01585753916255822,(search_term-prod_descr)_tf_idf_(natural-smooth)_sum
34,0.014909334354126898,(search_term-prod_descr)_bm25_sum
35,0.01292230417636385,(prod_descr-search_term)_tf_natural_avg
36,0.012717801615573574,(attr_values-search_term)_bm25_sum
37,0.0125576086934213,(attr_values-search_term)_bm25_avg
38,0.012411554314521463,(search_term-attr_values)_bm25_avg
39,0.011792279839817125,(attr_values-search_term)_tf_double_norm_0.5_avg
40,0.010588561698885727,(search_term-attr_values)_bm25_sum
41,0.010289739202663451,(attr_values-search_term)_tf_idf_(natural-max)_sum
42,0.009851826476818065,(attr_values-search_term)_tf_idf_(natural-prob)_sum
43,0.009755947845472146,(search_term-attr_values)_tf_idf_(natural-smooth)_sum
44,0.009532374497403817,(attr_values-search_term)_tf_idf_(natural-smooth)_sum
45,0.009332103178022124,search_term_length
46,0.009057226991296125,(prod_descr-search_term)_tf_log_norm_avg
47,0.00822537122538177,(attr_names-search_term)_tf_double_norm_0.5_avg
48,0.007289201244221578,(attr_names-search_term)_tf_idf_(natural-prob)_sum
49,0.007100372924162513,(attr_names-search_term)_tf_idf_(natural-max)_sum
50,0.006813113600295841,(attr_names-search_term)_tf_idf_(natural-smooth)_sum
51,0.006422850172303687,(product_title-search_term)_tf_natural
52,0.006396097665176048,(search_term-attr_names)_bm25_avg
53,0.006379446328577471,(attr_names-search_term)_bm25_sum
54,0.006366892170889285,(attr_names-search_term)_bm25_avg
55,0.006018970425278987,(search_term-attr_names)_tf_idf_(natural-smooth)_sum
56,0.00598337984541601,(prod_descr-search_term)_tf_natural
57,0.005910895650573289,(attr_values-search_term)_tf_natural_avg
58,0.005465079076251907,(search_term-attr_names)_bm25_sum
59,0.00487640447709656,(attr_values-search_term)_tf_log_norm_avg
60,0.004163511168910146,(attr_names-search_term)_tf_natural_avg
61,0.003994561014019006,(attr_values-search_term)_tf_natural
62,0.003282993985275271,(search_term-brand_name)_tf_idf_(natural-smooth)_sum
63,0.0032568202758943903,(search_term-brand_name)_bm25_sum
64,0.0028659857075409505,(attr_names-search_term)_tf_log_norm_avg
65,0.0025912096862702426,(product_title-search_term)_tf_log_norm_avg
66,0.0022796983531549165,(attr_names-search_term)_tf_natural
67,0.0013110993598308036,(search_term-brand_name)_tf_natural
