,rank,time,rmse,gamma,learning_rate,reg_lambda,reg_alpha,max_depth,colsample_bytree,colsample_bylevel,subsample,min_child_weight
0,1.0,9.361156702041626,0.48061890650179895,0.9,0.05,1.0,0.0,25.0,0.9,0.8,1.0,7.0
1,2.0,8.034825642903646,0.480730914129164,0.5,0.05,0.1,1.0,25.0,0.8,0.7,0.8,3.0
2,3.0,10.998046080271402,0.48148463000551167,0.5,0.05,1.0,1.0,25.0,1.0,0.8,0.8,1.0
3,4.0,4.690218607584636,0.48190407925255546,0.1,0.05,0.01,0.0,15.0,0.6,0.8,0.9,7.0
4,5.0,6.598977168401082,0.4822790933611798,0.7,0.1,0.001,1.0,15.0,0.8,1.0,1.0,7.0
5,6.0,8.183167457580566,0.48246854747702295,0.7,0.05,0.01,0.0,25.0,0.8,0.8,0.6,5.0
6,7.0,3.210524241129557,0.48357436122093417,0.1,0.05,0.001,1.0,9.0,0.6,1.0,0.8,7.0
7,8.0,6.528133392333984,0.4836718040235531,1.0,0.1,0.1,1.0,17.0,0.7,1.0,0.7,7.0
8,9.0,6.300830443700154,0.4839773023061105,0.5,0.1,1.0,0.1,17.0,0.9,0.7,1.0,5.0
9,10.0,2.40627392133077,0.48436011661375844,0.1,0.05,0.1,0.0,9.0,0.7,0.6,0.6,7.0
10,11.0,2.2143863836924234,0.4867901337509039,0.7,0.05,0.01,0.1,7.0,0.7,0.7,1.0,1.0
11,12.0,7.244484583536784,0.48688175262769595,0.05,0.1,0.001,1.0,17.0,0.8,0.9,0.9,5.0
12,13.0,2.010747194290161,0.4869258209788281,0.1,0.05,0.1,0.5,7.0,0.7,0.6,0.6,1.0
13,14.0,5.197453896204631,0.4883223086812791,0.1,0.1,0.1,1.0,15.0,0.8,0.8,0.6,7.0
14,15.0,1.8103004296620686,0.48883924001888,0.7,0.1,1.0,0.1,5.0,1.0,0.6,0.8,3.0
15,16.0,2.0759530067443848,0.48900296483293304,0.9,0.1,0.1,0.0,5.0,1.0,0.8,0.9,3.0
16,17.0,1.8504114945729573,0.490887882324034,0.9,0.05,0.01,0.0,5.0,0.9,0.8,1.0,3.0
17,18.0,2.3899545669555664,0.49092303436530627,0.5,0.05,0.001,1.0,5.0,1.0,1.0,0.6,7.0
18,19.0,1.0059247016906738,0.4936525124533187,1.0,0.1,0.001,0.0,3.0,0.8,0.6,0.6,3.0
19,20.0,1.6593460241953533,0.4959839377336011,0.5,0.05,0.1,0.5,3.0,1.0,1.0,0.9,3.0
20,21.0,5.768653233846028,0.5024864690912602,0.7,0.025,0.01,0.0,15.0,1.0,0.6,1.0,7.0
21,22.0,4.196666479110718,0.504016086468583,0.1,0.025,0.1,0.0,12.0,0.8,0.8,0.6,5.0
22,23.0,4.2133251031239825,0.5044701577959715,0.9,0.025,0.001,0.5,15.0,0.6,0.7,0.8,7.0
23,24.0,5.659351348876953,0.5050654806375919,0.7,0.025,1.0,0.0,15.0,1.0,0.7,0.7,5.0
24,25.0,6.26234785715739,0.5061500250992162,0.9,0.025,0.01,1.0,25.0,0.6,0.9,0.8,7.0
25,26.0,6.865745306015015,0.5075634714304619,0.3,0.025,0.1,1.0,17.0,0.9,1.0,0.7,7.0
26,27.0,3.4060471057891846,0.5083335931249593,0.5,0.025,0.01,0.5,9.0,0.6,1.0,0.9,1.0
27,28.0,2.779920736948649,0.5083767742926597,0.9,0.025,0.1,0.1,9.0,0.6,0.8,0.7,1.0
28,29.0,3.332859516143799,0.509054108987898,0.3,0.025,0.01,1.0,9.0,1.0,0.6,0.9,7.0
29,30.0,3.9744064807891846,0.5097802685115626,0.5,0.025,0.1,1.0,9.0,0.9,0.9,0.9,3.0
30,31.0,2.858999172846476,0.5102968889408346,1.0,0.025,0.01,1.0,9.0,0.8,0.6,0.7,3.0
31,32.0,2.2450903256734214,0.5121762157187839,0.3,0.025,0.1,1.0,7.0,0.7,0.7,0.8,1.0
32,33.0,1.1227951844533284,0.5217809102100727,0.3,0.025,1.0,0.5,3.0,0.6,0.9,0.8,3.0
33,34.0,1.118855396906535,0.5218274820504651,0.5,0.025,1.0,0.1,3.0,0.8,0.7,0.6,3.0
34,35.0,0.9567381540934244,0.5222732713914341,1.0,0.025,1.0,0.0,3.0,0.6,0.7,0.7,3.0
35,36.0,9.11546222368876,0.6393565357558829,0.9,0.015,0.001,0.1,15.0,1.0,1.0,0.9,1.0
36,37.0,4.983307917912801,0.6414743252450998,0.9,0.015,1.0,0.0,15.0,0.7,0.8,0.9,7.0
37,38.0,3.027782678604126,0.642376758427653,0.3,0.015,0.001,0.5,9.0,0.6,0.9,0.8,7.0
38,39.0,4.23777969678243,0.6426250638592558,0.7,0.015,0.001,1.0,15.0,0.7,0.7,1.0,7.0
39,40.0,3.3671502272288003,0.6433252461876616,0.3,0.015,0.1,0.0,7.0,1.0,1.0,0.8,3.0
40,41.0,5.5481001536051435,0.6441942504480895,1.0,0.015,1.0,0.1,17.0,0.7,0.7,0.8,1.0
41,42.0,2.0395596822102866,0.6442904484640228,0.7,0.015,0.001,0.5,7.0,0.6,0.7,0.9,5.0
42,43.0,3.840287129084269,0.6448768797248282,0.9,0.015,0.001,1.0,12.0,0.8,0.7,0.6,1.0
43,44.0,2.998821576436361,0.6451167194316545,0.9,0.015,0.001,1.0,7.0,1.0,0.8,0.8,3.0
44,45.0,5.541627566019694,0.6496859583251873,0.1,0.015,1.0,0.1,15.0,0.7,0.9,0.7,1.0
45,46.0,4.152556578318278,0.8444215917016799,0.7,0.01,0.001,0.1,12.0,0.7,0.7,1.0,7.0
46,47.0,1.797820250193278,0.8517325091247319,0.9,0.01,0.001,0.1,5.0,0.6,1.0,1.0,3.0
47,48.0,10.458798090616861,0.8518496678316582,0.05,0.01,0.001,0.5,25.0,1.0,1.0,1.0,7.0
48,49.0,2.3622753620147705,0.8520278460927374,0.1,0.01,0.1,1.0,5.0,1.0,0.9,0.9,1.0
49,50.0,1.127448558807373,0.8556509588608049,0.9,0.01,0.001,1.0,3.0,0.6,0.9,0.9,7.0
